rule,file,task_idx,step_id,step,status,old_action,new_action,old_text,new_text,old_relation,new_relation,marker,remove_tag,note
G2,00006-HkseAnWCgqk/tasks-island_2.json,23,1,Arrange the dining table.,OK,place_on,straighten,Place dining table on surface.,Straighten the dining table.,on,,;referent_grounding_v1:G2,,X=dining table
G2,00141-iigzG1rtanx/tasks-island_1.json,57,1,Arrange the lounge chair.,OK,place_on,straighten,Place lounge chair on surface.,Straighten the lounge chair.,on,,;referent_grounding_v1:G2,,X=lounge chair
G2,00141-iigzG1rtanx/tasks-island_1.json,71,5,Arrange the bottles.,OK,place_on,straighten,Place bottle on surface.,Straighten the bottles.,on,,;referent_grounding_v1:G2,,X=bottles
G1,00141-iigzG1rtanx/tasks-island_1.json,80,4,Arrange the flowers in the flower vase.,OK,place_in,place_in,Place flower vase in receptacle.,Place the flowers in the flower vase.,in,in,;referent_grounding_v1:G1,,X=flowers|Y=flower vase
G3,00141-iigzG1rtanx/tasks-island_1.json,83,6,Put away clothes in the dresser.,OK,store,store,Store items in the dresser.,Store the clothes in the dresser.,in,in,;referent_grounding_v1:G3,,NP=clothes
G2,00141-iigzG1rtanx/tasks-island_1.json,88,3,Position the keyboard.,OK,place_on,reposition,Place keyboard on surface.,Reposition the keyboard.,on,,;referent_grounding_v1:G2,,X=keyboard
G2,00141-iigzG1rtanx/tasks-island_1.json,99,3,Arrange the flower vase.,OK,place_on,straighten,Place flower vase on surface.,Straighten the flower vase.,on,,;referent_grounding_v1:G2,,X=flower vase
G2,00141-iigzG1rtanx/tasks-island_1.json,110,3,Position the keyboard.,OK,place_on,reposition,Place keyboard on surface.,Reposition the keyboard.,on,,;referent_grounding_v1:G2,,X=keyboard
G2,00141-iigzG1rtanx/tasks-island_1.json,116,2,Arrange the flower vase.,OK,place_on,straighten,Place flower vase on surface.,Straighten the flower vase.,on,,;referent_grounding_v1:G2,,X=flower vase
G2,00141-iigzG1rtanx/tasks-island_1.json,133,5,Arrange the cart.,OK,place_on,straighten,Place cart on surface.,Straighten the cart.,on,,;referent_grounding_v1:G2,,X=cart
G2,00141-iigzG1rtanx/tasks-island_1.json,139,5,Arrange the lounge chair.,OK,place_on,straighten,Place lounge chair on surface.,Straighten the lounge chair.,on,,;referent_grounding_v1:G2,,X=lounge chair
G3,00143-5Kw4nGdqYtS/tasks-island_0.json,42,5,Put away clothes in the wardrobe.,OK,store,store,Store items in the wardrobe.,Store the clothes in the wardrobe.,in,in,;referent_grounding_v1:G3,,NP=clothes
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,57,5,Set the cup down.,OK,place_on,straighten,Place cup on surface.,Straighten the cup.,on,,;referent_grounding_v1:G2,,X=cup
G1,00143-5Kw4nGdqYtS/tasks-island_0.json,59,2,Set the shampoo on the edge.,OK,place_on,place_on,Place shampoo on surface.,Place the shampoo on the edge.,on,on,;referent_grounding_v1:G1,,X=shampoo|Y=edge
G1,00143-5Kw4nGdqYtS/tasks-island_0.json,60,1,Arrange the firewood in the fireplace.,OK,place_in,place_in,Place firewood in receptacle.,Place the firewood in the fireplace.,in,in,;referent_grounding_v1:G1,,X=firewood|Y=fireplace
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,69,4,Arrange the bag.,OK,place_on,straighten,Place bag on surface.,Straighten the bag.,on,,;referent_grounding_v1:G2,,X=bag
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,72,1,Arrange the book.,OK,place_on,straighten,Place book on surface.,Straighten the book.,on,,;referent_grounding_v1:G2,,X=book
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,78,3,Set the plate.,OK,place_on,straighten,Place plate on surface.,Straighten the plate.,on,,;referent_grounding_v1:G2,,X=plate
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,87,2,Arrange the shampoo.,OK,place_on,straighten,Place shampoo on surface.,Straighten the shampoo.,on,,;referent_grounding_v1:G2,,X=shampoo
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,100,3,Arrange the bag.,OK,place_on,straighten,Place bag on surface.,Straighten the bag.,on,,;referent_grounding_v1:G2,,X=bag
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,110,2,Arrange the bookshelf.,OK,place_on,straighten,Place bookshelf on surface.,Straighten the bookshelf.,on,,;referent_grounding_v1:G2,,X=bookshelf
G4,00143-5Kw4nGdqYtS/tasks-island_0.json,117,3,Fill the cup at the sink.,RESOLVED,fill,fill,Use the sink to fill a container.,Fill the kettle at the sink.,at,at,;referent_grounding_v1:G4,,vessel=kettle
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,119,3,Set the bowl.,OK,place_on,straighten,Place bowl on surface.,Straighten the bowl.,on,,;referent_grounding_v1:G2,,X=bowl
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,120,5,Arrange the shampoo,OK,place_on,straighten,Place shampoo on surface.,Straighten the shampoo.,on,,;referent_grounding_v1:G2,,X=shampoo
G1,00143-5Kw4nGdqYtS/tasks-island_0.json,127,4,Set the plate on the table,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,128,5,Arrange the clothes,OK,place_on,straighten,Place clothes on surface.,Straighten the clothes.,on,,;referent_grounding_v1:G2,,X=clothes
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,142,6,Arrange the shoe,OK,place_on,straighten,Place shoe on surface.,Straighten the shoe.,on,,;referent_grounding_v1:G2,,X=shoe
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,148,6,Set the plate,OK,place_on,straighten,Place plate on surface.,Straighten the plate.,on,,;referent_grounding_v1:G2,,X=plate
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,153,4,Set the cup,OK,place_on,straighten,Place cup on surface.,Straighten the cup.,on,,;referent_grounding_v1:G2,,X=cup
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,156,6,Arrange the shampoo bottle.,OK,place_on,straighten,Place shampoo on surface.,Straighten the shampoo bottle.,on,,;referent_grounding_v1:G2,,X=shampoo bottle
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,170,3,Arrange the shampoo bottle.,OK,place_on,straighten,Place shampoo on surface.,Straighten the shampoo bottle.,on,,;referent_grounding_v1:G2,,X=shampoo bottle
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,189,2,Rearrange the decorative plate.,OK,place_on,straighten,Place decorative plate on surface.,Straighten the decorative plate.,on,,;referent_grounding_v1:G2,,X=decorative plate
G1,00143-5Kw4nGdqYtS/tasks-island_0.json,189,6,Reposition the decoration on the shelf.,OK,place_on,place_on,Place decoration on surface.,Place the decoration on the shelf.,on,on,;referent_grounding_v1:G1,,X=decoration|Y=shelf
G1,00143-5Kw4nGdqYtS/tasks-island_0.json,196,7,Set the bowl of snacks on the table.,OK,place_on,place_on,Place bowl on surface.,Place the bowl of snacks on the table.,on,on,;referent_grounding_v1:G1,,X=bowl of snacks|Y=table
G2,00143-5Kw4nGdqYtS/tasks-island_0.json,200,5,Set the cup down neatly.,OK,place_on,straighten,Place cup on surface.,Straighten the cup down.,on,,;referent_grounding_v1:G2,,X=cup down
G1,00143-5Kw4nGdqYtS/tasks-island_0.json,203,2,Set the cup on the tray.,OK,place_on,place_on,Place cup on surface.,Place the cup on the tray.,on,on,;referent_grounding_v1:G1,,X=cup|Y=tray
G1,00143-5Kw4nGdqYtS/tasks-island_0.json,206,6,Arrange the shampoo bottle on the ledge.,OK,place_on,place_on,Place shampoo on surface.,Place the shampoo bottle on the ledge.,on,on,;referent_grounding_v1:G1,,X=shampoo bottle|Y=ledge
G4,00149-UuwwmrTsfBN/tasks-island_0.json,9,3,Fill with water at the sink.,RESOLVED,fill,fill,Use the sink to fill a container.,Fill the pitcher at the sink.,at,at,;referent_grounding_v1:G4,,vessel=pitcher
G2,00149-UuwwmrTsfBN/tasks-island_0.json,17,4,Set the plate.,OK,place_on,straighten,Place plate on surface.,Straighten the plate.,on,,;referent_grounding_v1:G2,,X=plate
G2,00149-UuwwmrTsfBN/tasks-island_0.json,24,2,Set the plate.,OK,place_on,straighten,Place plate on surface.,Straighten the plate.,on,,;referent_grounding_v1:G2,,X=plate
G2,00149-UuwwmrTsfBN/tasks-island_0.json,32,2,Position the ottoman.,OK,place_on,reposition,Place ottoman on surface.,Reposition the ottoman.,on,,;referent_grounding_v1:G2,,X=ottoman
G1,00149-UuwwmrTsfBN/tasks-island_0.json,43,4,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G4,00149-UuwwmrTsfBN/tasks-island_0.json,64,2,Fill the cup with water at the tap.,RESOLVED,fill,fill,Use the tap to fill a container.,Fill the cup at the tap.,at,at,;referent_grounding_v1:G4,,vessel=cup
G1,00149-UuwwmrTsfBN/tasks-island_0.json,81,4,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G2,00149-UuwwmrTsfBN/tasks-island_0.json,92,3,Set the plate down.,OK,place_on,straighten,Place plate on surface.,Straighten the plate.,on,,;referent_grounding_v1:G2,,X=plate
G2,00149-UuwwmrTsfBN/tasks-island_0.json,125,7,Set the cup.,OK,place_in,straighten,Place cup in receptacle.,Straighten the cup.,in,,;referent_grounding_v1:G2,,X=cup
G2,00149-UuwwmrTsfBN/tasks-island_0.json,128,5,Set the plate.,OK,place_on,straighten,Place plate on surface.,Straighten the plate.,on,,;referent_grounding_v1:G2,,X=plate
G2,00149-UuwwmrTsfBN/tasks-island_2.json,2,3,Arrange the music player.,OK,place_on,straighten,Place music player on surface.,Straighten the music player.,on,,;referent_grounding_v1:G2,,X=music player
G2,00149-UuwwmrTsfBN/tasks-island_2.json,5,3,Position the speaker stand.,OK,place_on,reposition,Place speaker stand on surface.,Reposition the speaker stand.,on,,;referent_grounding_v1:G2,,X=speaker stand
G2,00149-UuwwmrTsfBN/tasks-island_2.json,16,2,Arrange the decorative plant.,OK,place_on,straighten,Place decorative plant on surface.,Straighten the decorative plant.,on,,;referent_grounding_v1:G2,,X=decorative plant
G2,00149-UuwwmrTsfBN/tasks-island_2.json,24,3,Arrange the decorative plant.,OK,place_on,straighten,Place decorative plant on surface.,Straighten the decorative plant.,on,,;referent_grounding_v1:G2,,X=decorative plant
G2,00149-UuwwmrTsfBN/tasks-island_2.json,26,5,Set the plate.,OK,place_on,straighten,Place plate on surface.,Straighten the plate.,on,,;referent_grounding_v1:G2,,X=plate
G2,00149-UuwwmrTsfBN/tasks-island_2.json,29,5,Arrange the decorative plant.,OK,place_on,straighten,Place decorative plant on surface.,Straighten the decorative plant.,on,,;referent_grounding_v1:G2,,X=decorative plant
G2,00149-UuwwmrTsfBN/tasks-island_2.json,35,6,Arrange the ottoman.,OK,place_on,straighten,Place ottoman on surface.,Straighten the ottoman.,on,,;referent_grounding_v1:G2,,X=ottoman
G2,00149-UuwwmrTsfBN/tasks-island_2.json,41,5,Arrange the ottoman.,OK,place_on,straighten,Place ottoman on surface.,Straighten the ottoman.,on,,;referent_grounding_v1:G2,,X=ottoman
G2,00149-UuwwmrTsfBN/tasks-island_2.json,43,6,Position the speaker stand.,OK,place_in,reposition,Place speaker stand in receptacle.,Reposition the speaker stand.,in,,;referent_grounding_v1:G2,,X=speaker stand
G2,00149-UuwwmrTsfBN/tasks-island_2.json,45,7,Set the music player.,OK,place_on,straighten,Place music player on surface.,Straighten the music player.,on,,;referent_grounding_v1:G2,,X=music player
G2,00149-UuwwmrTsfBN/tasks-island_2.json,47,5,Position the fan.,OK,place_on,reposition,Place fan on surface.,Reposition the fan.,on,,;referent_grounding_v1:G2,,X=fan
G2,00149-UuwwmrTsfBN/tasks-island_2.json,48,5,Arrange the ottoman.,OK,place_on,straighten,Place ottoman on surface.,Straighten the ottoman.,on,,;referent_grounding_v1:G2,,X=ottoman
G2,00149-UuwwmrTsfBN/tasks-island_2.json,49,6,Arrange the shelf.,OK,place_on,straighten,Place shelf on surface.,Straighten the shelf.,on,,;referent_grounding_v1:G2,,X=shelf
G2,00150-LcAd9dhvVwh/tasks-island_0.json,0,4,Arrange the coffee table.,OK,place_on,straighten,Place coffee table on surface.,Straighten the coffee table.,on,,;referent_grounding_v1:G2,,X=coffee table
G1,00150-LcAd9dhvVwh/tasks-island_0.json,2,2,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G2,00150-LcAd9dhvVwh/tasks-island_0.json,8,3,Set the bed table.,OK,place_in,straighten,Place bed table in receptacle.,Straighten the bed table.,in,,;referent_grounding_v1:G2,,X=bed table
G2,00150-LcAd9dhvVwh/tasks-island_0.json,13,3,Position the stand.,OK,place_on,reposition,Place stand on surface.,Reposition the stand.,on,,;referent_grounding_v1:G2,,X=stand
G2,00150-LcAd9dhvVwh/tasks-island_0.json,15,4,Arrange the wardrobe.,OK,place_on,straighten,Place wardrobe on surface.,Straighten the wardrobe.,on,,;referent_grounding_v1:G2,,X=wardrobe
G2,00150-LcAd9dhvVwh/tasks-island_0.json,19,2,Arrange the food tray.,OK,place_on,straighten,Place food tray on surface.,Straighten the food tray.,on,,;referent_grounding_v1:G2,,X=food tray
G2,00150-LcAd9dhvVwh/tasks-island_0.json,20,3,Arrange the computer chair.,OK,place_on,straighten,Place computer chair on surface.,Straighten the computer chair.,on,,;referent_grounding_v1:G2,,X=computer chair
G1,00150-LcAd9dhvVwh/tasks-island_0.json,22,2,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G2,00150-LcAd9dhvVwh/tasks-island_0.json,33,2,Position the computer chair.,OK,place_on,reposition,Place computer chair on surface.,Reposition the computer chair.,on,,;referent_grounding_v1:G2,,X=computer chair
G1,00150-LcAd9dhvVwh/tasks-island_0.json,40,4,Organize the clothes in the wardrobe.,OK,place_in,place_in,Place wardrobe in receptacle.,Place the clothes in the wardrobe.,in,in,;referent_grounding_v1:G1,,X=clothes|Y=wardrobe
G1,00150-LcAd9dhvVwh/tasks-island_0.json,72,5,Set a plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G2,00150-LcAd9dhvVwh/tasks-island_0.json,78,4,Arrange the stand.,OK,place_on,straighten,Place stand on surface.,Straighten the stand.,on,,;referent_grounding_v1:G2,,X=stand
G2,00150-LcAd9dhvVwh/tasks-island_0.json,80,3,Arrange the food tray.,OK,place_on,straighten,Place food tray on surface.,Straighten the food tray.,on,,;referent_grounding_v1:G2,,X=food tray
G1,00150-LcAd9dhvVwh/tasks-island_0.json,85,2,Sort clothes in the wardrobe.,OK,place_in,place_in,Place wardrobe in receptacle.,Place the clothes in the wardrobe.,in,in,;referent_grounding_v1:G1,,X=clothes|Y=wardrobe
G2,00150-LcAd9dhvVwh/tasks-island_0.json,120,4,Set the food tray.,OK,place_on,straighten,Place food tray on surface.,Straighten the food tray.,on,,;referent_grounding_v1:G2,,X=food tray
G2,00150-LcAd9dhvVwh/tasks-island_0.json,129,3,Arrange the flower.,OK,place_on,straighten,Place flower on surface.,Straighten the flower.,on,,;referent_grounding_v1:G2,,X=flower
G2,00150-LcAd9dhvVwh/tasks-island_0.json,148,1,Arrange the folding chair.,OK,place_on,straighten,Place folding chair on surface.,Straighten the folding chair.,on,,;referent_grounding_v1:G2,,X=folding chair
G2,00150-LcAd9dhvVwh/tasks-island_0.json,152,2,Arrange the flower stand.,OK,place_on,straighten,Place flower stand on surface.,Straighten the flower stand.,on,,;referent_grounding_v1:G2,,X=flower stand
G1,00150-LcAd9dhvVwh/tasks-island_0.json,168,5,Organize items in the wardrobe.,OK,place_in,place_in,Place wardrobe in receptacle.,Place the items in the wardrobe.,in,in,;referent_grounding_v1:G1,,X=items|Y=wardrobe
G2,00150-LcAd9dhvVwh/tasks-island_0.json,169,2,Arrange the flower.,OK,place_on,straighten,Place flower on surface.,Straighten the flower.,on,,;referent_grounding_v1:G2,,X=flower
G2,00150-LcAd9dhvVwh/tasks-island_0.json,173,2,Arrange the computer chair.,OK,place_on,straighten,Place computer chair on surface.,Straighten the computer chair.,on,,;referent_grounding_v1:G2,,X=computer chair
G2,00150-LcAd9dhvVwh/tasks-island_0.json,183,3,Position the computer chair.,OK,place_on,reposition,Place computer chair on surface.,Reposition the computer chair.,on,,;referent_grounding_v1:G2,,X=computer chair
G2,00150-LcAd9dhvVwh/tasks-island_0.json,195,6,Arrange the flower.,OK,place_on,straighten,Place flower on surface.,Straighten the flower.,on,,;referent_grounding_v1:G2,,X=flower
G1,00150-LcAd9dhvVwh/tasks-island_0.json,199,3,Organize the clothes in the wardrobe.,OK,place_in,place_in,Place wardrobe in receptacle.,Place the clothes in the wardrobe.,in,in,;referent_grounding_v1:G1,,X=clothes|Y=wardrobe
G2,00150-LcAd9dhvVwh/tasks-island_0.json,202,4,Arrange the coffee table.,OK,place_on,straighten,Place coffee table on surface.,Straighten the coffee table.,on,,;referent_grounding_v1:G2,,X=coffee table
G1,00150-LcAd9dhvVwh/tasks-island_0.json,210,7,Tidy the clothes in the wardrobe.,OK,place_in,place_in,Place wardrobe in receptacle.,Place the clothes in the wardrobe.,in,in,;referent_grounding_v1:G1,,X=clothes|Y=wardrobe
G1,00150-LcAd9dhvVwh/tasks-island_0.json,213,6,Arrange the items in the storage box.,OK,place_in,place_in,Place storage box in receptacle.,Place the items in the storage box.,in,in,;referent_grounding_v1:G1,,X=items|Y=storage box
G4,00155-iLDo95ZbDJq/tasks-island_0.json,5,2,Fill the vase with water at the sink.,RESOLVED,fill,fill,Use the sink to fill a container.,Fill the vase at the sink.,at,at,;referent_grounding_v1:G4,,vessel=vase
G4,00155-iLDo95ZbDJq/tasks-island_0.json,18,2,Fill the glass at the sink.,RESOLVED,fill,fill,Use the sink to fill a container.,Fill the glass at the sink.,at,at,;referent_grounding_v1:G4,,vessel=glass
G1,00155-iLDo95ZbDJq/tasks-island_0.json,39,1,Arrange flowers in the flower vase.,OK,place_in,place_in,Place flower vase in receptacle.,Place the flowers in the flower vase.,in,in,;referent_grounding_v1:G1,,X=flowers|Y=flower vase
G2,00155-iLDo95ZbDJq/tasks-island_0.json,51,4,Arrange the coat hanger.,OK,place_on,straighten,Place coat hanger on surface.,Straighten the coat hanger.,on,,;referent_grounding_v1:G2,,X=coat hanger
G2,00155-iLDo95ZbDJq/tasks-island_0.json,57,3,Arrange the flower vase.,OK,place_on,straighten,Place flower vase on surface.,Straighten the flower vase.,on,,;referent_grounding_v1:G2,,X=flower vase
G4,00155-iLDo95ZbDJq/tasks-island_0.json,57,4,Fill the kettle at the sink.,RESOLVED,fill,fill,Use the sink to fill a container.,Fill the vase at the sink.,at,at,;referent_grounding_v1:G4,,vessel=vase
G1,00155-iLDo95ZbDJq/tasks-island_0.json,71,1,Organize the magazines on the shelf.,OK,place_on,place_on,Place shelf on surface.,Place the magazines on the shelf.,on,on,;referent_grounding_v1:G1,,X=magazines|Y=shelf
G1,00155-iLDo95ZbDJq/tasks-island_0.json,74,5,Set out a magazine on the coffee table.,OK,place_on,place_on,Place magazine on surface.,Place the magazine on the coffee table.,on,on,;referent_grounding_v1:G1,,X=magazine|Y=coffee table
G1,00155-iLDo95ZbDJq/tasks-island_0.json,77,5,Set the dishes on the stool.,OK,place_on,place_on,Place dishes on surface.,Place the dishes on the stool.,on,on,;referent_grounding_v1:G1,,X=dishes|Y=stool
G1,00155-iLDo95ZbDJq/tasks-island_0.json,83,3,Sort the items in the handbag.,OK,place_in,place_in,Place handbag in receptacle.,Place the items in the handbag.,in,in,;referent_grounding_v1:G1,,X=items|Y=handbag
G2,00155-iLDo95ZbDJq/tasks-island_0.json,87,3,Arrange the flower.,OK,place_on,straighten,Place flower on surface.,Straighten the flower.,on,,;referent_grounding_v1:G2,,X=flower
G2,00155-iLDo95ZbDJq/tasks-island_0.json,109,2,Arrange the dresser.,OK,place_on,straighten,Place dresser on surface.,Straighten the dresser.,on,,;referent_grounding_v1:G2,,X=dresser
G4,00155-iLDo95ZbDJq/tasks-island_0.json,110,2,Fill the kettle at the sink.,FLAG,fill,fill,Use the sink to fill a container.,Use the sink to fill a container.,at,at,;ungrounded_anaphora,,no_vessel_found
G1,00155-iLDo95ZbDJq/tasks-island_0.json,136,5,Arrange the flowers in the flower vase.,OK,place_in,place_in,Place flower vase in receptacle.,Place the flowers in the flower vase.,in,in,;referent_grounding_v1:G1,,X=flowers|Y=flower vase
G1,00155-iLDo95ZbDJq/tasks-island_0.json,144,6,Organize the books on the rack.,OK,place_on,place_on,Place rack on surface.,Place the books on the rack.,on,on,;referent_grounding_v1:G1,,X=books|Y=rack
G1,00155-iLDo95ZbDJq/tasks-island_0.json,148,1,Arrange the logs in the fireplace.,OK,place_in,place_in,Place fireplace in receptacle.,Place the logs in the fireplace.,in,in,;referent_grounding_v1:G1,,X=logs|Y=fireplace
G3,00155-iLDo95ZbDJq/tasks-island_0.json,157,6,Put away the clean pots in the kitchen cabinet.,OK,store,store,Store items in the kitchen cabinet.,Store the clean pots in the kitchen cabinet.,in,in,;referent_grounding_v1:G3,,NP=clean pots
G1,00155-iLDo95ZbDJq/tasks-island_0.json,158,6,Set the flower vase on the dining table.,OK,place_on,place_on,Place flower vase on surface.,Place the flower vase on the dining table.,on,on,;referent_grounding_v1:G1,,X=flower vase|Y=dining table
G1,00155-iLDo95ZbDJq/tasks-island_0.json,159,4,Organize supplies in the container.,OK,place_in,place_in,Place container in receptacle.,Place the supplies in the container.,in,in,;referent_grounding_v1:G1,,X=supplies|Y=container
G1,00155-iLDo95ZbDJq/tasks-island_0.json,166,3,Organize the books on the rack.,OK,place_in,place_on,Place rack in receptacle.,Place the books on the rack.,in,on,;referent_grounding_v1:G1,,X=books|Y=rack
G2,00155-iLDo95ZbDJq/tasks-island_0.json,171,1,Arrange the coffee table.,OK,place_on,straighten,Place coffee table on surface.,Straighten the coffee table.,on,,;referent_grounding_v1:G2,,X=coffee table
G2,00155-iLDo95ZbDJq/tasks-island_0.json,173,4,Arrange the rack.,OK,place_on,straighten,Place rack on surface.,Straighten the rack.,on,,;referent_grounding_v1:G2,,X=rack
G1,00155-iLDo95ZbDJq/tasks-island_0.json,181,6,Arrange the books on the rack.,OK,place_on,place_on,Place rack on surface.,Place the books on the rack.,on,on,;referent_grounding_v1:G1,,X=books|Y=rack
G4,00164-XfUxBGTFQQb/tasks-island_0.json,18,1,Refill the soap near the sink.,FLAG,fill,fill,Use the sink to fill a container.,Use the sink to fill a container.,,,;ungrounded_anaphora,,no_vessel_found
G1,00164-XfUxBGTFQQb/tasks-island_0.json,25,5,Set the plate on the counter.,OK,place_on,place_on,Place plate on surface.,Place the plate on the counter.,on,on,;referent_grounding_v1:G1,,X=plate|Y=counter
G1,00164-XfUxBGTFQQb/tasks-island_0.json,35,3,Arrange the rack in the living room.,OK,place_in,place_in,Place rack in receptacle.,Place the rack in the living room.,in,in,;referent_grounding_v1:G1,,X=rack|Y=living room
G1,00164-XfUxBGTFQQb/tasks-island_0.json,53,3,Arrange items on the rack.,OK,place_on,place_on,Place rack on surface.,Place the items on the rack.,on,on,;referent_grounding_v1:G1,,X=items|Y=rack
P0c,00164-XfUxBGTFQQb/tasks-island_0.json,65,2,Prepare the fireplace tool set.,OK,turn_on,reposition,Turn on the fireplace tool set.,Reposition the fireplace tool set.,on,,;cleanup_v1:turn_on->reposition,vocab_gap:no_ignite_action,
G1,00164-XfUxBGTFQQb/tasks-island_0.json,71,2,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G2,00164-XfUxBGTFQQb/tasks-island_0.json,76,4,Arrange the wardrobe,OK,place_on,straighten,Place wardrobe on surface.,Straighten the wardrobe.,on,,;referent_grounding_v1:G2,,X=wardrobe
G2,00164-XfUxBGTFQQb/tasks-island_0.json,80,2,Arrange the wardrobe,OK,place_on,straighten,Place wardrobe on surface.,Straighten the wardrobe.,on,,;referent_grounding_v1:G2,,X=wardrobe
G2,00164-XfUxBGTFQQb/tasks-island_0.json,83,2,Arrange the wardrobe,OK,place_on,straighten,Place wardrobe on surface.,Straighten the wardrobe.,on,,;referent_grounding_v1:G2,,X=wardrobe
G2,00164-XfUxBGTFQQb/tasks-island_0.json,89,2,Arrange the wardrobe,OK,place_in,straighten,Place wardrobe in receptacle.,Straighten the wardrobe.,in,,;referent_grounding_v1:G2,,X=wardrobe
G2,00164-XfUxBGTFQQb/tasks-island_0.json,90,2,Arrange the hanger,OK,place_on,straighten,Place hanger on surface.,Straighten the hanger.,on,,;referent_grounding_v1:G2,,X=hanger
G2,00164-XfUxBGTFQQb/tasks-island_0.json,91,2,Arrange the wardrobe,OK,place_on,straighten,Place wardrobe on surface.,Straighten the wardrobe.,on,,;referent_grounding_v1:G2,,X=wardrobe
G2,00164-XfUxBGTFQQb/tasks-island_0.json,95,4,Arrange the wardrobe,OK,place_on,straighten,Place wardrobe on surface.,Straighten the wardrobe.,on,,;referent_grounding_v1:G2,,X=wardrobe
G2,00164-XfUxBGTFQQb/tasks-island_0.json,96,2,Arrange the book,OK,place_on,straighten,Place book on surface.,Straighten the book.,on,,;referent_grounding_v1:G2,,X=book
G2,00164-XfUxBGTFQQb/tasks-island_0.json,102,5,Arrange the wardrobe,OK,place_on,straighten,Place wardrobe on surface.,Straighten the wardrobe.,on,,;referent_grounding_v1:G2,,X=wardrobe
G2,00164-XfUxBGTFQQb/tasks-island_0.json,108,4,Arrange the book,OK,place_on,straighten,Place book on surface.,Straighten the book.,on,,;referent_grounding_v1:G2,,X=book
G1,00166-RaYrxWt5pR1/tasks-island_0.json,10,2,Set the backpack on the kitchen chair.,OK,place_on,place_on,Place backpack on surface.,Place the backpack on the kitchen chair.,on,on,;referent_grounding_v1:G1,,X=backpack|Y=kitchen chair
G2,00166-RaYrxWt5pR1/tasks-island_0.json,17,3,Set a bowl for cereal.,OK,place_on,straighten,Place bowl on surface.,Straighten the bowl.,on,,;referent_grounding_v1:G2,,X=bowl
G1,00166-RaYrxWt5pR1/tasks-island_0.json,22,2,Set the plate on the side table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the side table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=side table
G1,00166-RaYrxWt5pR1/tasks-island_0.json,29,4,Arrange clean linens on the shelf.,OK,place_on,place_on,Place shelf on surface.,Place the clean linens on the shelf.,on,on,;referent_grounding_v1:G1,,X=clean linens|Y=shelf
G2,00166-RaYrxWt5pR1/tasks-island_0.json,41,4,Arrange the flower as a prop.,OK,place_on,straighten,Place flower on surface.,Straighten the flower as a prop.,on,,;referent_grounding_v1:G2,,X=flower as a prop
G4,00166-RaYrxWt5pR1/tasks-island_0.json,43,2,Fill a pot at the sink.,FLAG,fill,fill,Use the sink to fill a container.,Use the sink to fill a container.,at,at,;ungrounded_anaphora,,no_vessel_found
G2,00166-RaYrxWt5pR1/tasks-island_0.json,45,2,Position the flower.,OK,place_on,reposition,Place flower on surface.,Reposition the flower.,on,,;referent_grounding_v1:G2,,X=flower
G1,00166-RaYrxWt5pR1/tasks-island_0.json,48,5,Set the book on the table.,OK,place_on,place_on,Place book on surface.,Place the book on the table.,on,on,;referent_grounding_v1:G1,,X=book|Y=table
G1,00166-RaYrxWt5pR1/tasks-island_0.json,50,3,Organize the items in the cabinet.,OK,place_in,place_in,Place cabinet in receptacle.,Place the items in the cabinet.,in,in,;referent_grounding_v1:G1,,X=items|Y=cabinet
